iso3,year,variable,old_value,new_value,reason,evidence
PRT,2012,irregular_proxy_detections,5155.0,9110.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2013,irregular_proxy_detections,4530.0,5155.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2014,irregular_proxy_detections,5145.0,4530.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2015,irregular_proxy_detections,6500.0,5145.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2016,irregular_proxy_detections,6005.0,6500.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2017,irregular_proxy_detections,4760.0,6005.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2018,irregular_proxy_detections,5890.0,4760.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2019,irregular_proxy_detections,3145.0,5890.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2020,irregular_proxy_detections,1855.0,3145.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2021,irregular_proxy_detections,2170.0,1855.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
PRT,2022,irregular_proxy_detections,1615.0,2170.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2010,irregular_proxy_detections,20765.0,27460.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2011,irregular_proxy_detections,23205.0,20765.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2012,irregular_proxy_detections,24400.0,23205.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2013,irregular_proxy_detections,72835.0,24400.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2014,irregular_proxy_detections,1445.0,72835.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2015,irregular_proxy_detections,1210.0,1445.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2016,irregular_proxy_detections,2145.0,1210.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2017,irregular_proxy_detections,1720.0,2145.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2018,irregular_proxy_detections,2170.0,1720.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2019,irregular_proxy_detections,2615.0,2170.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2020,irregular_proxy_detections,2635.0,2615.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2021,irregular_proxy_detections,2455.0,2635.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
SWE,2022,irregular_proxy_detections,2510.0,2455.0,Series was offset by one year: the input workbook carried the Eurostat value for year Y+1 under year Y. Replaced with the correct year-aligned value.,"Eurostat migr_eipre re-queried 2026-08-17 (reason=TOTAL, apprehen=TOTAL, citizen=TOTAL); see data_raw/eurostat_migr_eipre.json"
ITA,2010,irregular_stock,,454000.0,Value absent from the input workbook; added from the official ISMU series.,"Fondazione ISMU, ""Stime stranieri irregolari ISMU 1991-2021"" (agg. maggio 2022); countries/ITA_Italy/sources/irregular_stock__ISMU_Stime_irregolari_1991_2021_agg_maggio2022.xls"
ITA,2011,irregular_stock,,443000.0,Value absent from the input workbook; added from the official ISMU series.,"Fondazione ISMU, ""Stime stranieri irregolari ISMU 1991-2021"" (agg. maggio 2022); countries/ITA_Italy/sources/irregular_stock__ISMU_Stime_irregolari_1991_2021_agg_maggio2022.xls"
ITA,2012,irregular_stock,,326000.0,Value absent from the input workbook; added from the official ISMU series.,"Fondazione ISMU, ""Stime stranieri irregolari ISMU 1991-2021"" (agg. maggio 2022); countries/ITA_Italy/sources/irregular_stock__ISMU_Stime_irregolari_1991_2021_agg_maggio2022.xls"
ITA,2013,irregular_stock,,294000.0,Value absent from the input workbook; added from the official ISMU series.,"Fondazione ISMU, ""Stime stranieri irregolari ISMU 1991-2021"" (agg. maggio 2022); countries/ITA_Italy/sources/irregular_stock__ISMU_Stime_irregolari_1991_2021_agg_maggio2022.xls"
ITA,2014,irregular_stock,400000.0,350000.0,Input used the Pew Research estimate for this year while every other year in the series used ISMU. Replaced with ISMU so the Italian series has one consistent method.,"Fondazione ISMU, ""Stime stranieri irregolari ISMU 1991-2021"" (agg. maggio 2022); countries/ITA_Italy/sources/irregular_stock__ISMU_Stime_irregolari_1991_2021_agg_maggio2022.xls"
TWN,2012,irregular_proxy_overstayers,37177.0,66696.0,"The input column mixed two incompatible Taiwanese measures across years: MOL absconded migrant workers (失聯移工, a subset) for 2011-2013 and 2019-2022, and NIA overstayers (逾期停留/居留) for 2014-2018, producing spurious jumps in 2014 and 2019. The column now holds only the NIA overstayer measure; the MOL figures were moved to irregular_proxy_absconded_workers.","Legislative Yuan Budget Center reports citing National Immigration Agency data; countries/TWN_Taiwan/sources/ (S11 2019 report, S12 2021 report). Cross-checked against immigration_country_year_2010_2022.xlsx, which carries the same NIA series consistently for 2012-2021."
TWN,2013,irregular_proxy_overstayers,41724.0,69929.0,"The input column mixed two incompatible Taiwanese measures across years: MOL absconded migrant workers (失聯移工, a subset) for 2011-2013 and 2019-2022, and NIA overstayers (逾期停留/居留) for 2014-2018, producing spurious jumps in 2014 and 2019. The column now holds only the NIA overstayer measure; the MOL figures were moved to irregular_proxy_absconded_workers.","Legislative Yuan Budget Center reports citing National Immigration Agency data; countries/TWN_Taiwan/sources/ (S11 2019 report, S12 2021 report). Cross-checked against immigration_country_year_2010_2022.xlsx, which carries the same NIA series consistently for 2012-2021."
TWN,2019,irregular_proxy_overstayers,47632.0,83465.0,"The input column mixed two incompatible Taiwanese measures across years: MOL absconded migrant workers (失聯移工, a subset) for 2011-2013 and 2019-2022, and NIA overstayers (逾期停留/居留) for 2014-2018, producing spurious jumps in 2014 and 2019. The column now holds only the NIA overstayer measure; the MOL figures were moved to irregular_proxy_absconded_workers.","Legislative Yuan Budget Center reports citing National Immigration Agency data; countries/TWN_Taiwan/sources/ (S11 2019 report, S12 2021 report). Cross-checked against immigration_country_year_2010_2022.xlsx, which carries the same NIA series consistently for 2012-2021."
TWN,2020,irregular_proxy_overstayers,52199.0,86061.0,"The input column mixed two incompatible Taiwanese measures across years: MOL absconded migrant workers (失聯移工, a subset) for 2011-2013 and 2019-2022, and NIA overstayers (逾期停留/居留) for 2014-2018, producing spurious jumps in 2014 and 2019. The column now holds only the NIA overstayer measure; the MOL figures were moved to irregular_proxy_absconded_workers.","Legislative Yuan Budget Center reports citing National Immigration Agency data; countries/TWN_Taiwan/sources/ (S11 2019 report, S12 2021 report). Cross-checked against immigration_country_year_2010_2022.xlsx, which carries the same NIA series consistently for 2012-2021."
TWN,2021,irregular_proxy_overstayers,55805.0,81538.0,"The input column mixed two incompatible Taiwanese measures across years: MOL absconded migrant workers (失聯移工, a subset) for 2011-2013 and 2019-2022, and NIA overstayers (逾期停留/居留) for 2014-2018, producing spurious jumps in 2014 and 2019. The column now holds only the NIA overstayer measure; the MOL figures were moved to irregular_proxy_absconded_workers.","Legislative Yuan Budget Center reports citing National Immigration Agency data; countries/TWN_Taiwan/sources/ (S11 2019 report, S12 2021 report). Cross-checked against immigration_country_year_2010_2022.xlsx, which carries the same NIA series consistently for 2012-2021."
KOR,2015,irregular_proxy_overstayers,212596.0,214168.0,The input value was a 31 August 2015 snapshot spliced into an otherwise year-end series. Replaced with the official year-end figure from the Ministry of Justice.,"MOJ Immigration Statistical Yearbook 2015 Table 6-1 and the MOJ open-data series; both give 214,168 for year-end 2015."
