file,publisher,description,query_url,bytes,path
oecd/CHL_B15.json,OECD,"International Migration Database, CHL, measure B15 (foreign-national stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/CHL.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",6614,evidence/api/oecd/CHL_B15.json
oecd/ISR_B14.json,OECD,"International Migration Database, ISR, measure B14 (foreign-born stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/ISR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7104,evidence/api/oecd/ISR_B14.json
oecd/JPN_B15.json,OECD,"International Migration Database, JPN, measure B15 (foreign-national stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/JPN.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7218,evidence/api/oecd/JPN_B15.json
oecd/KOR_B15.json,OECD,"International Migration Database, KOR, measure B15 (foreign-national stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/KOR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7218,evidence/api/oecd/KOR_B15.json
oecd/MEX_B14.json,OECD,"International Migration Database, MEX, measure B14 (foreign-born stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/MEX.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",6361,evidence/api/oecd/MEX_B14.json
oecd/MEX_B15.json,OECD,"International Migration Database, MEX, measure B15 (foreign-national stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/MEX.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7205,evidence/api/oecd/MEX_B15.json
oecd/NZL_B14.json,OECD,"International Migration Database, NZL, measure B14 (foreign-born stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/NZL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",5926,evidence/api/oecd/NZL_B14.json
oecd/TUR_B14.json,OECD,"International Migration Database, TUR, measure B14 (foreign-born stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/TUR.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",6517,evidence/api/oecd/TUR_B14.json
oecd/TUR_B15.json,OECD,"International Migration Database, TUR, measure B15 (foreign-national stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/TUR.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7215,evidence/api/oecd/TUR_B15.json
oecd/USA_B14.json,OECD,"International Migration Database, USA, measure B14 (foreign-born stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/USA.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7131,evidence/api/oecd/USA_B14.json
oecd/USA_B15.json,OECD,"International Migration Database, USA, measure B15 (foreign-national stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/USA.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7258,evidence/api/oecd/USA_B15.json
