iso3,country,variable,n_years,coverage,years,modal_grade,sources,usable_for_trend,comparability
CHE,Switzerland,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
CHE,Switzerland,irregular_stock,2,2/13,2015-2017,B,"Morlok, Oswald, Meier, Efionayi-Mader, Ruedin, Bader, Wanner | Pew Research Center (2019), Europe's Unauthorized Immigrant ",NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
CHE,Switzerland,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
CHE,Switzerland,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
CHL,Chile,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
CHL,Chile,foreign_born,11,11/13,2010-2022,A,OECD International Migration Database (stocks of foreign-bor,YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
CHL,Chile,foreign_nationals,6,6/13,2017-2022,A,OECD International Migration Database (stocks of foreign pop,CAUTION - partial coverage,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
CHL,Chile,irregular_stock,5,5/13,2018-2022,C,Instituto Nacional de Estadisticas (INE) and Servicio Nacion,CAUTION - partial coverage,"NOT comparable across countries. Different estimation methods, different years, different definitions."
CHL,Chile,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
CHL,Chile,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
CHN,China,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
CHN,China,foreign_born,3,3/13,2010-2020,A,UN DESA International Migrant Stock (World Bank indicator SM,NO - too few years for a trend (use as a level only),"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
CHN,China,foreign_nationals,2,2/13,2010-2020,C,National Bureau of Statistics of China - 2010 Population Cen | National Bureau of Statistics of China - Communique of the S,NO - too few years for a trend (use as a level only),"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
CHN,China,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
CHN,China,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
CHN,China,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
CZE,Czech Republic,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
CZE,Czech Republic,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
CZE,Czech Republic,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
CZE,Czech Republic,irregular_stock,1,1/13,2017-2017,C,"Pew Research Center (2019), Europe's Unauthorized Immigrant ",NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
CZE,Czech Republic,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
CZE,Czech Republic,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
DEU,Germany,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
DEU,Germany,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
DEU,Germany,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
DEU,Germany,irregular_stock,4,4/13,2014-2017,C,"Pew Research Center (2019), Europe's Unauthorized Immigrant ",NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
DEU,Germany,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
DEU,Germany,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
DNK,Denmark,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
DNK,Denmark,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
DNK,Denmark,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
DNK,Denmark,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
DNK,Denmark,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
DNK,Denmark,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
ESP,Spain,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
ESP,Spain,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
ESP,Spain,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
ESP,Spain,irregular_stock,6,6/13,2017-2022,C,"Funcas (2024), Estimacion de la poblacion en situacion irreg",CAUTION - partial coverage,"NOT comparable across countries. Different estimation methods, different years, different definitions."
ESP,Spain,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
ESP,Spain,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
FIN,Finland,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
FIN,Finland,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
FIN,Finland,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
FIN,Finland,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
FIN,Finland,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
FIN,Finland,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
FRA,France,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
FRA,France,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
FRA,France,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
FRA,France,irregular_stock,4,4/13,2014-2017,C,"Pew Research Center (2019), Europe's Unauthorized Immigrant ",NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
FRA,France,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
FRA,France,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
GBR,United Kingdom,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
GBR,United Kingdom,foreign_born,12,12/13,2010-2021,A,"Eurostat [migr_pop3ctb] | ONS, Population of the UK by country of birth and nationalit",CAUTION - 10+ years but more than one source in the series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
GBR,United Kingdom,foreign_nationals,12,12/13,2010-2021,A,"Eurostat [migr_pop1ctz] | ONS, Population of the UK by country of birth and nationalit",CAUTION - 10+ years but more than one source in the series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
GBR,United Kingdom,irregular_stock,1,1/13,2017-2017,C,"Pew Research Center (2019), Europe's Unauthorized Immigrant ",NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
GBR,United Kingdom,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
GBR,United Kingdom,irregular_proxy_detections,10,10/13,2010-2019,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
HRV,Croatia,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
HRV,Croatia,foreign_born,11,11/13,2011-2022,A,"Croatian Bureau of Statistics, Census 2011 | Eurostat [migr_pop3ctb]",CAUTION - 10+ years but more than one source in the series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
HRV,Croatia,foreign_nationals,11,11/13,2011-2022,A,"Croatian Bureau of Statistics, Census 2011 | Eurostat [migr_pop1ctz]",CAUTION - 10+ years but more than one source in the series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
HRV,Croatia,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
HRV,Croatia,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
HRV,Croatia,irregular_proxy_detections,10,10/13,2013-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
HUN,Hungary,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
HUN,Hungary,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
HUN,Hungary,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
HUN,Hungary,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
HUN,Hungary,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
HUN,Hungary,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
IND,India,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
IND,India,foreign_born,4,4/13,2010-2020,A,"Chandrasekhar S. and Sharma A., Migration in India: trends a | UN DESA International Migrant Stock (World Bank indicator SM",NO - too few years for a trend (use as a level only),"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
IND,India,foreign_nationals,0,0/13,,,,NO - no data,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
IND,India,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
IND,India,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
IND,India,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
ISL,Iceland,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
ISL,Iceland,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
ISL,Iceland,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
ISL,Iceland,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
ISL,Iceland,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
ISL,Iceland,irregular_proxy_detections,3,3/13,2016-2019,A,"Eurostat, Third country nationals found to be illegally pres",NO - too few years for a trend (use as a level only),"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
ISR,Israel,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
ISR,Israel,foreign_born,13,13/13,2010-2022,A,OECD International Migration Database (stocks of foreign-bor,YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
ISR,Israel,foreign_nationals,0,0/13,,,,NO - no data,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
ISR,Israel,irregular_stock,2,2/13,2020-2022,C,Israel Population and Immigration Authority (רשות האוכלוסין ,NO - too few years for a trend (use as a level only),"NOT comparable across countries. Different estimation methods, different years, different definitions."
ISR,Israel,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
ISR,Israel,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
ITA,Italy,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
ITA,Italy,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
ITA,Italy,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
ITA,Italy,irregular_stock,13,13/13,2010-2022,B,"Fondazione ISMU estimate, reported in Neodemos | Fondazione ISMU, Stime stranieri irregolari 1991-2021 (agg.  | Fondazione ISMU, XXII Rapporto sulle migrazioni 2016 | Fondazione ISMU, XXIV Rapporto sulle migrazioni 2018 | Fondazione ISMU, XXV Rapporto sulle migrazioni 2019 | Fondazione ISMU, XXVI Rapporto sulle migrazioni 2020 | Fondazione ISMU, XXVII Rapporto sulle migrazioni 2021",CAUTION - 10+ years but more than one source in the series,"NOT comparable across countries. Different estimation methods, different years, different definitions."
ITA,Italy,irregular_proxy_overstayers,0,0/13,,,,NO - no data,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
ITA,Italy,irregular_proxy_detections,13,13/13,2010-2022,A,"Eurostat, Third country nationals found to be illegally pres",YES - continuous single-source series,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
JPN,Japan,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
JPN,Japan,foreign_born,0,0/13,,,,NO - no data,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
JPN,Japan,foreign_nationals,13,13/13,2010-2022,A,OECD International Migration Database (stocks of foreign pop,YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
JPN,Japan,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
JPN,Japan,irregular_proxy_overstayers,8,8/13,2011-2022,C,"Global Detention Project, Japan Immigration Detention Profil | 出入国在留管理庁 本邦における不法残留者数について (Immigration Services Agency of Ja","CAUTION - partial coverage, with gaps",NOT comparable across countries. Administrative register counts that capture only recorded overstays.
JPN,Japan,irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
KOR,Korea (South),population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
KOR,Korea (South),foreign_born,3,3/13,2010-2020,A,UN DESA International Migrant Stock (retrieved via World Ban,NO - too few years for a trend (use as a level only),"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
KOR,Korea (South),foreign_nationals,13,13/13,2010-2022,A,OECD International Migration Database (stocks of foreign pop,YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
KOR,Korea (South),irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
KOR,Korea (South),irregular_proxy_overstayers,10,10/13,2010-2022,D,"Korean National Police University press, Cheryu oegugin beom | Ministry of Justice of Korea, Immigration and Foreign Policy",CAUTION - 10+ years but more than one source in the series,NOT comparable across countries. Administrative register counts that capture only recorded overstays.
KOR,Korea (South),irregular_proxy_detections,0,0/13,,,,NO - no data,"NOT comparable across countries and is a FLOW of enforcement events, not a stock of people. Driven by enforcement intensity and geographic position on migration routes."
LTU,Lithuania,population,13,13/13,2010-2022,A,"World Bank, World Development Indicators (SP.POP.TOTL), sour",YES - continuous single-source series,Directly comparable. World Bank WDI mid-year for 39 countries; Taiwan is a national year-end register figure.
LTU,Lithuania,foreign_born,13,13/13,2010-2022,A,Eurostat [migr_pop3ctb],YES - continuous single-source series,"Comparable in concept (born abroad) but sources differ (Eurostat 1 Jan, OECD mid-year, UN DESA benchmark years). Includes naturalised citizens."
LTU,Lithuania,foreign_nationals,13,13/13,2010-2022,A,Eurostat [migr_pop1ctz],YES - continuous single-source series,"Closest match to ""non-nationals"". Not maintained by jus-soli countries; affected by naturalisation rates, so not a pure migration measure."
LTU,Lithuania,irregular_stock,0,0/13,,,,NO - no data,"NOT comparable across countries. Different estimation methods, different years, different definitions."
