iso3,variable,source_url,http_status,content_type,bytes,local_file,source_name,error
CHL,irregular_stock,https://www.ine.gob.cl/docs/default-source/demografia-y-migracion/publicaciones-y-anuarios/migraci%C3%B3n-internacional/estimaci%C3%B3n-poblaci%C3%B3n-extranjera-en-chile-2018/sintesis-epe2023.pdf?sfvrsn=cc51129c_10,cached,,1110426,irregular_stock__f8f04e39ba__www.ine.gob.cl.pdf,"Instituto Nacional de Estadisticas (INE) and Servicio Nacional de Migraciones (SERMIG), Estimacion de Personas Extranjeras Residentes Habituales en Chile 2023 - Sintesis (2023 revised methodology)",
CHL,irregular_stock,https://www.ine.gob.cl/sala-de-prensa/prensa/general/noticia/2023/12/29/poblaci%C3%B3n-extranjera-residente-en-chile-super%C3%B3-los-1-6-millones-de-personas-en-2022-con-un-6-6-de-ellas-en-situaci%C3%B3n-irregular,200,text/html,103171,irregular_stock__84522ec4c7__www.ine.gob.cl.html,"Instituto Nacional de Estadisticas (INE) de Chile, press release 29 December 2023",
CHN,foreign_nationals,https://www.stats.gov.cn/english/NewsEvents/201104/t20110429_26451.html,200,text/html,19101,foreign_nationals__06858e32fc__www.stats.gov.cn.html,National Bureau of Statistics of China - 2010 Population Census (Sixth National Population Census),
CHN,foreign_nationals,https://www.stats.gov.cn/english/PressRelease/202105/t20210510_1817193.html,200,text/html,18806,foreign_nationals__0bdd1c303b__www.stats.gov.cn.html,National Bureau of Statistics of China - Communique of the Seventh National Population Census (No. 8),
CZE,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,200,text/html,504541,irregular_stock__dccd321871__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",
DEU,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,200,text/html,504541,irregular_stock__dccd321871__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",
DEU,irregular_stock,https://www.bpb.de/themen/migration-integration/regionalprofile/deutschland/256275/irregulaere-migration-in-deutschland/,200,text/html,163736,irregular_stock__f2d4f3db84__www.bpb.de.html,"Vogel, Dita (2015), Update report Germany: Estimated number of irregular foreign residents in Germany (Database on Irregular Migration), cited in bpb country profile",
ESP,irregular_stock,https://www.funcas.es/wp-content/uploads/2024/05/2405-NCS.pdf,200,application/pdf,415147,irregular_stock__6fb352cb1d__www.funcas.es.pdf,"Funcas (2024), Estimacion de la poblacion en situacion irregular en Espana, Cuadro 1, Estimacion 1",
ESP,irregular_stock,https://www.funcas.es/wp-content/uploads/2024/05/2405-NCS.pdf,cached,,415147,irregular_stock__6fb352cb1d__www.funcas.es.pdf,"Funcas (2024), Estimacion de la poblacion en situacion irregular en Espana, Cuadro 1, Estimacion 2",
ESP,irregular_stock,https://porcausa.org/wp-content/uploads/2020/07/RetratodelairregularidadporCausa.pdf,200,application/pdf,1556559,irregular_stock__b293f77eed__porcausa.org.pdf,"Fundacion porCausa (2020), Una fotografia de la inmigracion irregular en Espana",
ESP,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,200,text/html,504541,irregular_stock__dccd321871__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",
FRA,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,200,text/html,504541,irregular_stock__dccd321871__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",
GBR,foreign_born,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/ukpopulationbycountryofbirthandnationality/yearendingjune2020,200,text/html,90593,foreign_born__e1040217f2__www.ons.gov.uk.html,"ONS, Population of the UK by country of birth and nationality",
GBR,foreign_born,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/ukpopulationbycountryofbirthandnationality/yearendingjune2021,200,text/html,92069,foreign_born__f269f649a7__www.ons.gov.uk.html,"ONS, Population of the UK by country of birth and nationality",
GBR,foreign_nationals,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/ukpopulationbycountryofbirthandnationality/yearendingjune2020,200,text/html,90593,foreign_nationals__e1040217f2__www.ons.gov.uk.html,"ONS, Population of the UK by country of birth and nationality",
GBR,foreign_nationals,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/internationalmigration/bulletins/ukpopulationbycountryofbirthandnationality/yearendingjune2021,200,text/html,92069,foreign_nationals__f269f649a7__www.ons.gov.uk.html,"ONS, Population of the UK by country of birth and nationality",
GBR,irregular_stock,https://www.pewresearch.org/global/2019/11/13/eu-unauthorized-immigrants-appendix-e-updated-unauthorized-immigrant-population-estimates-for-europe-and-the-united-kingdom-2014-2017/,200,text/html,477128,irregular_stock__dc9847ae35__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off - Appendix E corrected estimates",
HRV,foreign_born,https://web.dzs.hr/eng/censuses/census2011/results/htm/e01_01_25/E01_01_25.html,200,text/html,42814,foreign_born__a2e888f94b__web.dzs.hr.html,"Croatian Bureau of Statistics, Census 2011",
HRV,foreign_nationals,https://web.dzs.hr/eng/censuses/census2011/results/htm/e01_01_06/e01_01_06_RH.html,200,text/html,14475,foreign_nationals__f43cbc3a6d__web.dzs.hr.html,"Croatian Bureau of Statistics, Census 2011",
IND,foreign_born,https://iasp.ac.in/uploads/journal/10.%20Migration%20in%20India%20trends%20and%20characteristics-1669206793.pdf,200,application/pdf,374048,foreign_born__e47d30324c__iasp.ac.in.pdf,"Chandrasekhar S. and Sharma A., Migration in India: trends and characteristics, Demography India Vol. 51 No. 1 (2022) pp.160-175 (Census of India 2011 place-of-birth data)",
ISR,irregular_stock,https://www.gov.il/BlobFolder/generalpage/foreign_workers_stats/he/zarim_2022_q1.pdf,403,text/html,5980,,"Israel Population and Immigration Authority (רשות האוכלוסין וההגירה), Foreigners in Israel (נתוני זרים בישראל), Q1 2022",HTTP 403
ITA,irregular_stock,https://www.neodemos.info/2018/07/27/irregolari-sanatorie-e-rimpatri/,200,text/html,129358,irregular_stock__eeb1002910__www.neodemos.info.html,"Fondazione ISMU estimate, reported in Neodemos",
ITA,irregular_stock,https://www.antoniocasella.eu/nume/Ismu_1dic2016.pdf,200,application/pdf,358534,irregular_stock__a0f7dc3c81__www.antoniocasella.eu.pdf,"Fondazione ISMU, XXII Rapporto sulle migrazioni 2016",
ITA,irregular_stock,https://www.vita.it/rapporto-ismu-calano-gli-sbarcati-ma-sale-la-quota-degli-irregolari/,200,text/html,135359,irregular_stock__77693a7efa__www.vita.it.html,"Fondazione ISMU, XXIV Rapporto sulle migrazioni 2018",
ITA,irregular_stock,https://www.ismu.org/comunicato-stampa-xxv-rapporto-ismu/,403,text/html,8874,,"Fondazione ISMU, XXV Rapporto sulle migrazioni 2019",HTTP 403
ITA,irregular_stock,https://www.cinformi.it/Comunicazione/Notizie/I-dati-del-Rapporto-ISMU-sulle-migrazioni-2020,ERR,,0,,"Fondazione ISMU, XXVI Rapporto sulle migrazioni 2020",<urlopen error [WinError 10060] 連線嘗試失敗，因為連線對象有一段時間並未正確回應，或是連線建立失敗，因為連線的主機無法回應。>
ITA,irregular_stock,https://www.ismu.org/xxvii-rapporto-sulle-migrazioni-2021-comunicato-stampa-11-2-2022/,403,text/html,8874,,"Fondazione ISMU, XXVII Rapporto sulle migrazioni 2021",HTTP 403
ITA,irregular_stock,https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,200,text/html,504541,irregular_stock__dccd321871__www.pewresearch.org.html,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",
JPN,irregular_proxy_overstayers,https://www.globaldetentionproject.org/countries/asia-pacific/japan,200,text/html,729399,irregular_proxy_overstayers__d9d919a65a__www.globaldetentionproject.o.html,"Global Detention Project, Japan Immigration Detention Profile (reproducing Ministry of Justice, 2011, p.34)",
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/content/001344148.pdf,200,application/pdf,965699,irregular_proxy_overstayers__3c80fc7397__www.moj.go.jp.pdf,"Immigration Services Agency of Japan, Honpo ni okeru fuho zanryusha su ni tsuite (Reiwa 3-nen 1-gatsu 1-nichi genzai), Table 1 (Dai-1-hyo)",
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/publications/press/13_00003.html,200,text/html,32698,irregular_proxy_overstayers__9ff4b8949e__www.moj.go.jp.html,"Immigration Services Agency of Japan, Overstayers as of 1 January (本邦における不法残留者数について)",
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/publications/press/13_00013.html,200,text/html,24162,irregular_proxy_overstayers__b84a36a0c9__www.moj.go.jp.html,"Immigration Services Agency of Japan, Overstayers as of 1 January (本邦における不法残留者数について)",
JPN,irregular_proxy_overstayers,https://www.nisshinkyo.org/news/pdf/G-26-2.pdf,404,text/html,217,,"Ministry of Justice Immigration Bureau, Honpo ni okeru fuho zanryusha su ni tsuite (Heisei 26-nen 1-gatsu 1-nichi genzai), mirrored by Nisshinkyo",HTTP 404
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/content/001344148.pdf,cached,,965699,irregular_proxy_overstayers__3c80fc7397__www.moj.go.jp.pdf,"出入国在留管理庁 本邦における不法残留者数について (Immigration Services Agency of Japan, Number of Overstayers in Japan)",
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/content/001344904.pdf,200,application/pdf,129563,irregular_proxy_overstayers__079fcae015__www.moj.go.jp.pdf,"出入国在留管理庁 本邦における不法残留者数について (Immigration Services Agency of Japan, Number of Overstayers in Japan)",
JPN,irregular_proxy_overstayers,https://www.moj.go.jp/isa/content/001459199.pdf,200,application/pdf,1313015,irregular_proxy_overstayers__a54f439438__www.moj.go.jp.pdf,"出入国在留管理庁 本邦における不法残留者数について (Immigration Services Agency of Japan, Number of Overstayers in Japan)",
KOR,irregular_proxy_overstayers,https://press.police.ac.kr/pds/1476878914562.pdf,ERR,,0,,"Korean National Police University press, Cheryu oegugin beomjoe-e gwanhan gyeongchal-ui daeeung bangan (2015), Table 1, citing Ministry of Justice Korea Immigration Service statistical yearbook",<urlopen error [WinError 10060] 連線嘗試失敗，因為連線對象有一段時間並未正確回應，或是連線建立失敗，因為連線的主機無法回應。>
KOR,irregular_proxy_overstayers,https://www.ekw.co.kr/news/articleView.html?idxno=11130,200,text/html,174743,irregular_proxy_overstayers__f55526aebb__www.ekw.co.kr.html,"Ministry of Justice of Korea, Immigration and Foreign Policy Statistics (불법체류외국인), reported via EKW",
MEX,irregular_proxy_detections,https://mexico.iom.int/sites/g/files/tmzbdl1686/files/documents/2024-03/estadisticas-migratorias-2023.pdf,403,text/html,494,,"Unidad de Politica Migratoria, Registro e Identidad de Personas (UPMRIP), SEGOB, Boletin de Estadisticas Migratorias, as compiled in IOM Mexico, Estadisticas migratorias 2023",HTTP 403
NLD,irregular_stock,https://www.wodc.nl/actueel/nieuws/2026/03/31/nieuwe-schattingen-beschikbaar-over-het-aantal-vreemdelingen-zonder-verblijfsvergunning,200,text/html,233709,irregular_stock__7ab05f83a3__www.wodc.nl.html,"Van der Heijden, Cruyff, Lugtig, Engbersen, Van Gils (WODC/Utrecht University/Erasmus University Rotterdam), Schattingen onrechtmatig in Nederland verblijvende vreemdelingen medio 2018-2019 tot medio 2022-2023",
NLD,irregular_stock,https://www.wodc.nl/actueel/nieuws/2020/12/16/nieuwe-schatting-voor-de-periode-medio-2017---medio-2018,200,text/html,207965,irregular_stock__6dc83bd3ff__www.wodc.nl.html,"Van der Heijden, Cruyff, Van Gils (WODC), Schattingen onrechtmatig in Nederland verblijvende vreemdelingen 2017-2018",
NZL,irregular_proxy_overstayers,https://fyi.org.nz/request/29926/response/118942/attach/4/Appendix%20A%20Immigration%20New%20Zealand%20Overstayers%20Factsheet%202017.pdf,200,application/pdf,825149,irregular_proxy_overstayers__c9a01f8746__fyi.org.nz.pdf,"Immigration New Zealand (MBIE), 'OVERSTAYERS' factsheet, October 2018, released under the Official Information Act and published on FYI.org.nz",
NZL,irregular_proxy_overstayers,https://immigration.govt.nz/assets/inz/documents/visa-paks/5-September-2025-New-estimate-of-people-who-have-overstayed-their-visa.pdf,200,application/pdf,267350,irregular_proxy_overstayers__4f53adc2ee__immigration.govt.nz.pdf,"Immigration New Zealand, New estimate of people who have overstayed their visa (5 September 2025)",
PHL,foreign_nationals,https://www.sunstar.com.ph/bacolod/nearly-200000-foreigners-living-in-philippines-census,200,text/html,763359,foreign_nationals__8847422287__www.sunstar.com.ph.html,National Statistics Office (Philippines) - 2010 Census of Population and Housing (reported by SunStar),
PHL,foreign_nationals,https://psa.gov.ph/content/foreign-citizens-country-2020-census-population-and-housing,403,text/html,5986,,Philippine Statistics Authority - Foreign Citizens in the Country (2020 Census of Population and Housing),HTTP 403
RUS,irregular_stock,https://www.themoscowtimes.com/2021/04/16/russia-tells-illegal-migrants-from-post-soviet-countries-to-leave-by-june-15-a73623,200,text/html,51668,irregular_stock__dcc58afd38__www.themoscowtimes.com.html,"Russian Ministry of Internal Affairs (MVD) data, reported by The Moscow Times, 16 April 2021",
SUR,foreign_born,https://statistics-suriname.org/wp-content/uploads/2019/05/Publicatie-Census-8-Volume-1-Demografische-en-Sociale-Karakteristieken-en-Migratie.pdf,200,application/pdf,5845330,foreign_born__f68b5eee2a__statistics-suriname.org.pdf,General Bureau of Statistics Suriname (ABS) - Census 8 (2012) Volume 1 Demographic and Social Characteristics and Migration,
SUR,foreign_nationals,https://statistics-suriname.org/wp-content/uploads/2019/05/Publicatie-Census-8-Volume-1-Demografische-en-Sociale-Karakteristieken-en-Migratie.pdf,200,application/pdf,5845330,foreign_nationals__f68b5eee2a__statistics-suriname.org.pdf,General Bureau of Statistics Suriname (ABS) - Census 8 (2012) Volume 1 Demographic and Social Characteristics and Migration,
THA,foreign_nationals,https://thailand.un.org/en/download/13750/50831,200,application/pdf,15387663,foreign_nationals__310b4a2752__thailand.un.org.pdf,IOM / United Nations Thailand - Thailand Migration Report 2019 (Table 1.1 Estimated non-Thai population in Thailand),
TUR,irregular_proxy_detections,https://dergipark.org.tr/tr/download/article-file/3843070,200,application/pdf,1176954,irregular_proxy_detections__d15f6a7c52__dergipark.org.tr.pdf,Presidency of Migration Management / Goc Idaresi Baskanligi (GIB) data tabulated in Turkiye'nin Duzensiz Gocle Mucadele Stratejisine Iliskin Bir Degerlendirme (DergiPark),
TUR,irregular_proxy_detections,https://www.dha.com.tr/gundem/guzel-yasam-icin-hedef-ulke-turkiyede-20-yilda-2-6-milyon-duzensiz-gocmen-yakalandi-2478884,200,text/html,73644,irregular_proxy_detections__95138086f6__www.dha.com.tr.html,Presidency of Migration Management / Goc Idaresi Baskanligi (GIB) figures reported by Demiroren Haber Ajansi (DHA),
TWN,foreign_nationals,https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8xNjA3NS8yZTk5ODk4OC05MTI4LTQ3Y2MtYTUwZi0yZjIwNzkzODk4ZDUucGRm&n=Mi7lpJbnsY3kurrlo6sucGRm&icon=.pdf,200,application/pdf,339201,foreign_nationals__5669f2f014__ws.moi.gov.tw.pdf,"Taiwan Ministry of the Interior, Department of Statistics (內政統計通報), foreign residents 外僑居留人數",
TWN,foreign_nationals,https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8yMTkxNi9jYmRkNDNlYy0wOGU0LTRjMzMtOTBjMy05MGYyOGEyZjE3NDIucGRm&n=MTE05bm056ysMTbpgLHlhafmlL%2FntbHoqIjpgJrloLFf5aSW5YOR566h55CGLnBkZg%3D%3D&icon=.pdf,200,application/pdf,174451,foreign_nationals__8280cc6d01__ws.moi.gov.tw.pdf,"Taiwan Ministry of the Interior, Department of Statistics (內政統計通報), foreign residents 外僑居留人數",
TWN,foreign_workers,https://statdb.mol.gov.tw/html/mon/c12020.pdf,200,application/pdf,41998,foreign_workers__d0a0269c40__statdb.mol.gov.tw.pdf,"Ministry of Labor (勞動部) Labour Statistics Database, monthly statistics Table 12-2 ""Foreign Workers in Taiwan by Work Responsibilities""",
TWN,irregular_proxy_overstayers,https://statdb.mol.gov.tw/html/mon/212070.pdf,200,application/pdf,71655,irregular_proxy_overstayers__0756fa9f58__statdb.mol.gov.tw.pdf,"Ministry of Labor, Republic of China (Taiwan), Monthly Bulletin of Labour Statistics, Table 12-7 Status of the Missing Foreign Workers by Nationality (表 12-7 失聯移工概況—按國籍分)",
TWN,irregular_proxy_overstayers,https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=33580&pid=188916,200,text/html,144817,irregular_proxy_overstayers__5d0d32cf1c__www.ly.gov.tw.html,"National Immigration Agency (內政部移民署), reported by the Legislative Yuan Budget Center",
TWN,irregular_proxy_overstayers,https://www.ly.gov.tw/Pages/Detail.aspx?nodeid=33580&pid=188916,cached,,144817,irregular_proxy_overstayers__5d0d32cf1c__www.ly.gov.tw.html,"National Immigration Agency / Ministry of Labor (失聯移工), reported by the Legislative Yuan Budget Center",
TWN,population,https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8xMzMzNy9jNDg1YjU2OC1lNWU2LTRkYTItYWIwZS1lMTJlNmVmZjBkZTIucGRm&n=MTA45bm05YWn5pS%2f57Wx6KiI5bm05aCx6Zu75a2Q5pu4LnBkZg%3d%3d&icon=.pdf,200,application/pdf,3151782,population__19060caafa__ws.moi.gov.tw.pdf,"內政部統計處 內政統計年報 108年版 (MOI Dept. of Statistics, Statistical Yearbook of Interior, 2019 ed.)",
TWN,population,https://ws.moi.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNDAwL3JlbGZpbGUvMC8yMzQ1NC85M2FlNzY2MC0xMDEwLTQxNGQtOGQ4NC00NjM3ZDE2ZjY4ZTcucGRm&n=MTE1MDUucGRm,200,application/pdf,2610893,population__0c3445011b__ws.moi.gov.tw.pdf,"內政部統計處 內政統計月報 115年5月 (MOI Dept. of Statistics, Monthly Bulletin of Interior Statistics, May 2026)",
USA,irregular_stock,https://journals.sagepub.com/doi/10.1177/23315024241226624,200,text/html,249476,irregular_stock__acbbe0d526__journals.sagepub.com.html,"Center for Migration Studies of New York (Robert Warren), After a Decade of Decline, the US Undocumented Population Increased by 650,000 in 2022, Journal on Migration and Human Security",
USA,irregular_stock,https://cmsny.org/us-undocumented-population-increased-in-july-2023-warren-090624/,200,text/html,65464,irregular_stock__693e3d8133__cmsny.org.html,"Center for Migration Studies of New York (Robert Warren), US Undocumented Population Increased to 11.7 Million in July 2023",
USA,irregular_stock,https://www.choicesmagazine.org/UserFiles/file/cmsarticle_991.pdf,200,application/pdf,630921,irregular_stock__f07e822120__www.choicesmagazine.org.pdf,"DHS Office of Homeland Security Statistics (Baker & Warren 2024), Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2018-January 2022, as reproduced in Choices Magazine (AAEA)",
USA,irregular_stock,https://ohss.dhs.gov/sites/default/files/2023-12/unauthorized_immigrant_population_estimates_2015_-_2018.pdf,200,application/pdf,876526,irregular_stock__61d67a1914__ohss.dhs.gov.pdf,"DHS Office of Homeland Security Statistics, Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2015-January 2018, Table A2-1",
USA,irregular_stock,https://ohss.dhs.gov/sites/default/files/2023-12/unauthorized_immigrant_population_estimates_2015_-_2018.pdf,cached,,876526,irregular_stock__61d67a1914__ohss.dhs.gov.pdf,"DHS Office of Homeland Security Statistics, Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2015-January 2018, Table A2-1 (pre-revision entry)",
USA,irregular_stock,https://ohss.dhs.gov/sites/default/files/2023-12/unauthorized_immigrant_population_estimates_2015_-_2018.pdf,cached,,876526,irregular_stock__61d67a1914__ohss.dhs.gov.pdf,"DHS Office of Homeland Security Statistics, Estimates of the Unauthorized Immigrant Population Residing in the United States: January 2015-January 2018, Table A2-1 (pre-update entry)",
USA,irregular_stock,https://www.migrationpolicy.org/commentary/diverse-flows-drive-increase-us-unauthorized-immigrant-population,200,text/html,109232,irregular_stock__a21b7d97cf__www.migrationpolicy.org.html,"Migration Policy Institute (with Jennifer Van Hook, Penn State), Diverse Flows Drive Increase in U.S. Unauthorized Immigrant Population (July 2024)",
USA,irregular_stock,https://www.migrationpolicy.org/sites/default/files/publications/mpi-unauthorized-immigrants-stablenumbers-changingorigins_final.pdf,200,application/pdf,2370062,irregular_stock__66eb6dec29__www.migrationpolicy.org.pdf,"Migration Policy Institute, Unauthorized Immigrants in the United States: Stable Numbers, Changing Origins",
USA,irregular_stock,https://www.pewresearch.org/race-and-ethnicity/2011/02/01/unauthorized-immigrant-population-brnational-and-state-trends-2010/,200,text/html,472101,irregular_stock__1db68f77f4__www.pewresearch.org.html,"Pew Hispanic Center, Unauthorized Immigrant Population: National and State Trends, 2010",
USA,irregular_stock,https://www.pewresearch.org/short-reads/2025/08/22/qa-how-pew-research-center-estimates-the-number-of-unauthorized-immigrants-living-in-the-us/,200,text/html,417979,irregular_stock__5f9277ca27__www.pewresearch.org.html,"Pew Research Center, Q&A: How Pew Research Center estimates the number of unauthorized immigrants living in the U.S. (22 August 2025)",
USA,irregular_stock,https://www.pewresearch.org/race-and-ethnicity/feature/unauthorized-trends/,200,text/html,380018,irregular_stock__6832664b64__www.pewresearch.org.html,"Pew Research Center, Unauthorized immigrant population trends",
USA,irregular_stock,https://www.pewresearch.org/short-reads/2024/07/22/what-we-know-about-unauthorized-immigrants-living-in-the-us/,200,text/html,444847,irregular_stock__4b5c514e18__www.pewresearch.org.html,"Pew Research Center, What we know about unauthorized immigrants living in the U.S. (July 2024)",
ZAF,foreign_born,https://census.statssa.gov.za/assets/documents/2022/P03014_Census_2022_Statistical_Release.pdf,200,application/pdf,3587195,foreign_born__c204ed0e2a__census.statssa.gov.za.pdf,Statistics South Africa - Census 2011 (as tabulated in the Census 2022 Statistical Release P0301.4),
ZAF,foreign_born,https://census.statssa.gov.za/assets/documents/2022/P03014_Census_2022_Statistical_Release.pdf,cached,,3587195,foreign_born__c204ed0e2a__census.statssa.gov.za.pdf,Statistics South Africa - Census 2022 Statistical Release P0301.4,
ZAF,foreign_born,https://unstats.un.org/unsd/demographic-social/migrationstat-forum-2023/presentations/E.3/4.Itani-StatsSA.pdf,200,application/pdf,806784,foreign_born__a8ebe1b51a__unstats.un.org.pdf,Statistics South Africa - Community Survey 2016 (presented to the UN Expert Forum on International Migration Statistics 2023),
